Date,Open,High,Low,Close,Volume,Sector,Ticker,Company,Return,Month,Year,Quarter
2023-02-03,775.1611710007219,798.9789723443195,773.2365001850776,798.1610107421875,14411100,Banking,HDFCBANK.NS,HDFCBANK,3.4584,2023-02,2023,2023Q1
2023-02-06,798.7384939446326,803.2614827057959,792.0983552594887,794.7688598632812,11167672,Banking,HDFCBANK.NS,HDFCBANK,-0.425,2023-02,2023,2023Q1
2023-02-07,798.4498004893098,801.0962231951561,785.5544809008483,795.9476928710938,10264588,Banking,HDFCBANK.NS,HDFCBANK,0.1483,2023-02,2023,2023Q1
2023-02-08,795.9716713200746,802.6839372708745,793.9267085858384,795.8513793945312,8444826,Banking,HDFCBANK.NS,HDFCBANK,-0.0121,2023-02,2023,2023Q1
2023-02-09,798.738479108453,799.5324176572361,786.9739509076702,794.1914672851562,11777336,Banking,HDFCBANK.NS,HDFCBANK,-0.2086,2023-02,2023,2023Q1
2023-02-10,793.3494214707791,798.0167252205403,790.173667284601,797.3430786132812,8172116,Banking,HDFCBANK.NS,HDFCBANK,0.3968,2023-02,2023,2023Q1
2023-02-13,796.3326188427218,799.5805011250109,791.3044393965116,797.9445190429688,5736944,Banking,HDFCBANK.NS,HDFCBANK,0.0754,2023-02,2023,2023Q1
2023-02-14,801.1443083812574,807.1589052910266,797.7520522296284,805.3304443359375,10908592,Banking,HDFCBANK.NS,HDFCBANK,0.9256,2023-02,2023,2023Q1
2023-02-15,807.3994872360046,807.3994872360046,797.1746725138561,803.6945190429688,11438712,Banking,HDFCBANK.NS,HDFCBANK,-0.2031,2023-02,2023,2023Q1
2023-02-16,805.0898752375481,809.2760700053668,799.2196520403804,800.783447265625,8062500,Banking,HDFCBANK.NS,HDFCBANK,-0.3622,2023-02,2023,2023Q1
2023-02-17,799.2196298038508,802.6599909509282,790.5345284538475,796.7656860351562,8956270,Banking,HDFCBANK.NS,HDFCBANK,-0.5017,2023-02,2023,2023Q1
2023-02-20,798.7384045852328,803.2854159842882,786.61300169689,789.283447265625,8086706,Banking,HDFCBANK.NS,HDFCBANK,-0.9391,2023-02,2023,2023Q1
2023-02-21,789.115146297544,799.8692342574486,786.2281396647481,792.2427368164062,12389296,Banking,HDFCBANK.NS,HDFCBANK,0.3749,2023-02,2023,2023Q1
2023-02-22,788.6339109553685,790.0533322670238,774.222960909244,776.700927734375,10359102,Banking,HDFCBANK.NS,HDFCBANK,-1.9617,2023-02,2023,2023Q1
2023-02-23,776.1235754720026,778.9383950431011,766.0671578181314,771.4321899414062,27882010,Banking,HDFCBANK.NS,HDFCBANK,-0.6783,2023-02,2023,2023Q1
2023-02-24,778.4813560195853,778.4813560195853,762.7471345130758,764.551513671875,17061740,Banking,HDFCBANK.NS,HDFCBANK,-0.8919,2023-02,2023,2023Q1
2023-02-27,763.0839740657053,769.3872600713753,758.9459430133319,766.4521484375,14312972,Banking,HDFCBANK.NS,HDFCBANK,0.2486,2023-02,2023,2023Q1
2023-02-28,766.0191009974646,772.4186559261975,764.4312238388164,769.6759643554688,18993992,Banking,HDFCBANK.NS,HDFCBANK,0.4206,2023-02,2023,2023Q1
2023-03-01,775.6424426558673,776.1236104242643,767.8234664194171,768.93017578125,14137256,Banking,HDFCBANK.NS,HDFCBANK,-0.0969,2023-03,2023,2023Q1
2023-03-02,766.981406050965,772.7313372630384,761.2073929564784,762.38623046875,17391814,Banking,HDFCBANK.NS,HDFCBANK,-0.851,2023-03,2023,2023Q1
2023-03-03,767.9436716413649,779.491696778829,764.0943299288768,777.5189208984375,14986234,Banking,HDFCBANK.NS,HDFCBANK,1.9849,2023-03,2023,2023Q1
2023-03-06,779.4917245287281,788.8504134058667,778.5534709474247,783.0042724609375,27004710,Banking,HDFCBANK.NS,HDFCBANK,0.7055,2023-03,2023,2023Q1
2023-03-08,779.4918325077525,788.8746045657163,779.4918325077525,784.5681762695312,20099774,Banking,HDFCBANK.NS,HDFCBANK,0.1997,2023-03,2023,2023Q1
2023-03-09,784.27938296168,791.9780672791738,782.859961535162,784.6402587890625,20700166,Banking,HDFCBANK.NS,HDFCBANK,0.0092,2023-03,2023,2023Q1
2023-03-10,774.8966492145099,776.4845264268987,762.6509523697192,764.4072265625,27387000,Banking,HDFCBANK.NS,HDFCBANK,-2.5786,2023-03,2023,2023Q1
2023-03-13,764.0463022356049,771.6968814107662,753.0034668384583,754.7357177734375,26443550,Banking,HDFCBANK.NS,HDFCBANK,-1.2652,2023-03,2023,2023Q1
2023-03-14,755.5536230150942,761.9772004206781,750.2848599011005,752.7147216796875,33185612,Banking,HDFCBANK.NS,HDFCBANK,-0.2678,2023-03,2023,2023Q1
2023-03-15,759.2827424375032,761.6404762620406,739.3623849761033,741.91259765625,37264754,Banking,HDFCBANK.NS,HDFCBANK,-1.4351,2023-03,2023,2023Q1
2023-03-16,740.5171069124015,750.188566152108,737.1730148168983,746.7241821289062,21753342,Banking,HDFCBANK.NS,HDFCBANK,0.6485,2023-03,2023,2023Q1
2023-03-17,749.4187322719004,759.8600484180247,740.9982970778341,756.7084350585938,22950876,Banking,HDFCBANK.NS,HDFCBANK,1.3371,2023-03,2023,2023Q1
2023-03-20,754.446900441081,754.5190873460873,743.5966036348024,751.4636840820312,26503114,Banking,HDFCBANK.NS,HDFCBANK,-0.6931,2023-03,2023,2023Q1
2023-03-21,756.3716494546454,761.4479929018443,748.793257108229,759.9804077148438,33050494,Banking,HDFCBANK.NS,HDFCBANK,1.1334,2023-03,2023,2023Q1
2023-03-22,762.1697956317762,763.1562131168565,753.1719812612004,758.2242431640625,14177324,Banking,HDFCBANK.NS,HDFCBANK,-0.2311,2023-03,2023,2023Q1
2023-03-23,754.350750068819,765.225129615806,749.9240302046185,752.1373901367188,28364178,Banking,HDFCBANK.NS,HDFCBANK,-0.8028,2023-03,2023,2023Q1
2023-03-24,750.6216774626521,757.3099208232004,748.1917568712191,750.9344482421875,31477748,Banking,HDFCBANK.NS,HDFCBANK,-0.1599,2023-03,2023,2023Q1
2023-03-27,751.6801683664236,759.980311312014,750.0923501751296,754.206298828125,31872006,Banking,HDFCBANK.NS,HDFCBANK,0.4357,2023-03,2023,2023Q1
2023-03-28,753.3643152523856,761.6404357125624,752.5944586072359,760.3412475585938,39276302,Banking,HDFCBANK.NS,HDFCBANK,0.8134,2023-03,2023,2023Q1
2023-03-29,762.1697080199377,770.8307274292553,761.1592675027767,763.9981689453125,39763612,Banking,HDFCBANK.NS,HDFCBANK,0.481,2023-03,2023,2023Q1
2023-03-31,767.7511762682442,776.0994241800914,766.2114631109374,774.4635009765625,34711228,Banking,HDFCBANK.NS,HDFCBANK,1.3698,2023-03,2023,2023Q1
2023-04-03,773.5011989750112,777.4226689404504,771.1915704030113,774.9447021484375,40025398,Banking,HDFCBANK.NS,HDFCBANK,0.0621,2023-04,2023,2023Q2
2023-04-05,778.8180825386323,796.8137675382653,777.5670581774376,795.7311401367188,43365392,Banking,HDFCBANK.NS,HDFCBANK,2.6823,2023-04,2023,2023Q2
2023-04-06,793.2290730170381,803.1651395050825,792.531344577113,801.7938232421875,44637344,Banking,HDFCBANK.NS,HDFCBANK,0.7619,2023-04,2023,2023Q2
2023-04-10,800.3023046039525,804.0313548734133,795.8515026694348,797.99267578125,31813286,Banking,HDFCBANK.NS,HDFCBANK,-0.4741,2023-04,2023,2023Q2
2023-04-11,798.2572492502067,803.2614052965625,794.4560125065183,800.3262939453125,42361542,Banking,HDFCBANK.NS,HDFCBANK,0.2924,2023-04,2023,2023Q2
2023-04-12,802.5877968377349,812.307361770148,802.4915867834721,810.7195434570312,26955504,Banking,HDFCBANK.NS,HDFCBANK,1.2986,2023-04,2023,2023Q2
2023-04-13,812.3555567321653,816.5657746530499,807.4716921966794,814.3523559570312,35330086,Banking,HDFCBANK.NS,HDFCBANK,0.4481,2023-04,2023,2023Q2
2023-04-17,827.6085828103118,827.6085828103118,795.5147153318975,801.9382934570312,32405148,Banking,HDFCBANK.NS,HDFCBANK,-1.5244,2023-04,2023,2023Q2
2023-04-18,803.550177070361,807.0386434079419,797.00630713609,798.5460205078125,29637226,Banking,HDFCBANK.NS,HDFCBANK,-0.423,2023-04,2023,2023Q2
2023-04-19,801.1442851788886,803.6944976892919,797.3671301762054,801.4810791015625,24741168,Banking,HDFCBANK.NS,HDFCBANK,0.3676,2023-04,2023,2023Q2
2023-04-20,804.368086679066,807.134801181368,801.8179329013308,804.46435546875,32922716,Banking,HDFCBANK.NS,HDFCBANK,0.3722,2023-04,2023,2023Q2
2023-04-21,803.0689611623811,806.8942212156402,800.3022466466929,805.7634887695312,20128618,Banking,HDFCBANK.NS,HDFCBANK,0.1615,2023-04,2023,2023Q2
2023-04-24,811.729970551708,813.8711434821779,805.5228950106629,812.2833251953125,35675852,Banking,HDFCBANK.NS,HDFCBANK,0.8092,2023-04,2023,2023Q2
2023-04-25,812.0666934409265,812.0666934409265,799.652602180992,800.7352294921875,50353068,Banking,HDFCBANK.NS,HDFCBANK,-1.4217,2023-04,2023,2023Q2
2023-04-26,798.738456878835,805.955973055451,796.3326181532963,804.416259765625,27392750,Banking,HDFCBANK.NS,HDFCBANK,0.4597,2023-04,2023,2023Q2
2023-04-27,803.7906953628967,810.8879194015693,801.5532536644629,808.8429565429688,47790392,Banking,HDFCBANK.NS,HDFCBANK,0.5503,2023-04,2023,2023Q2
2023-04-28,810.6232785465422,813.6546588421882,803.5501361717647,812.0186767578125,27916272,Banking,HDFCBANK.NS,HDFCBANK,0.3926,2023-04,2023,2023Q2
2023-05-02,812.547950500037,817.5040017864336,809.3241500911014,811.8502807617188,32221184,Banking,HDFCBANK.NS,HDFCBANK,-0.0207,2023-05,2023,2023Q2
2023-05-03,810.7435373497618,816.0604642226169,808.193383640843,814.6891479492188,29407270,Banking,HDFCBANK.NS,HDFCBANK,0.3497,2023-05,2023,2023Q2
2023-05-04,811.7781905035579,834.5614742791329,811.7781905035579,831.3617553710938,56854638,Banking,HDFCBANK.NS,HDFCBANK,2.0465,2023-05,2023,2023Q2
2023-05-05,788.6339660930405,799.1955750303342,780.5022191249311,782.2103881835938,62770416,Banking,HDFCBANK.NS,HDFCBANK,-5.9122,2023-05,2023,2023Q2
2023-05-08,786.7093355416769,794.095249360511,784.3034965950662,791.25634765625,37244524,Banking,HDFCBANK.NS,HDFCBANK,1.1565,2023-05,2023,2023Q2
2023-05-09,793.878651970084,796.8137633850524,789.0909977997552,791.2803344726562,43688938,Banking,HDFCBANK.NS,HDFCBANK,0.003,2023-05,2023,2023Q2
2023-05-10,791.2804533329866,796.1643182887179,785.7951286225175,794.9373168945312,46340550,Banking,HDFCBANK.NS,HDFCBANK,0.4622,2023-05,2023,2023Q2
2023-05-11,801.216542964019,812.2112150220032,793.5659634923215,795.466552734375,35734618,Banking,HDFCBANK.NS,HDFCBANK,0.0666,2023-05,2023,2023Q2
2023-05-12,792.4833249747595,804.8974770572269,791.1601135942614,802.4916381835938,22478760,Banking,HDFCBANK.NS,HDFCBANK,0.8831,2023-05,2023,2023Q2
2023-05-15,804.5125423272495,808.7227604763904,801.1924728395238,806.3410034179688,18512260,Banking,HDFCBANK.NS,HDFCBANK,0.4797,2023-05,2023,2023Q2
2023-05-16,813.641207320555,813.641207320555,800.1113205928083,801.7174072265625,32722086,Banking,HDFCBANK.NS,HDFCBANK,-0.5734,2023-05,2023,2023Q2
2023-05-17,803.0314612780545,803.0314612780545,791.0346460503185,797.4102172851562,30466868,Banking,HDFCBANK.NS,HDFCBANK,-0.5372,2023-05,2023,2023Q2
2023-05-18,802.0580796447568,804.953835962047,798.1645938212387,800.5980224609375,49646942,Banking,HDFCBANK.NS,HDFCBANK,0.3998,2023-05,2023,2023Q2
2023-05-19,802.0580474754112,803.0314188922503,794.0520913358603,801.522705078125,30460332,Banking,HDFCBANK.NS,HDFCBANK,0.1155,2023-05,2023,2023Q2
2023-05-22,800.5980440930408,804.4428733296279,794.6117857136817,798.6756591796875,28334032,Banking,HDFCBANK.NS,HDFCBANK,-0.3552,2023-05,2023,2023Q2
2023-05-23,802.5447954516952,802.8367950174272,794.9768083346355,796.8018798828125,22470074,Banking,HDFCBANK.NS,HDFCBANK,-0.2346,2023-05,2023,2023Q2
2023-05-24,792.1053367744181,795.6094500592069,785.3160355965606,786.3867797851562,33588112,Banking,HDFCBANK.NS,HDFCBANK,-1.3071,2023-05,2023,2023Q2
2023-05-25,786.3380947431477,788.455225154943,777.407423655138,783.3693237304688,29776930,Banking,HDFCBANK.NS,HDFCBANK,-0.3837,2023-05,2023,2023Q2
2023-05-26,787.9441502650901,787.9441502650901,779.7921647697594,786.3867797851562,26635066,Banking,HDFCBANK.NS,HDFCBANK,0.3852,2023-05,2023,2023Q2
2023-05-29,792.5676872978805,798.6512587386072,790.7912725552128,795.9744873046875,21816292,Banking,HDFCBANK.NS,HDFCBANK,1.2192,2023-05,2023,2023Q2
2023-05-30,795.0498137776772,799.4543434930372,792.5920864341458,796.5828857421875,37125928,Banking,HDFCBANK.NS,HDFCBANK,0.0764,2023-05,2023,2023Q2
2023-05-31,793.2491711514361,795.7068987144811,780.9603551065537,783.977783203125,43334270,Banking,HDFCBANK.NS,HDFCBANK,-1.5824,2023-05,2023,2023Q2
2023-06-01,788.3822359863269,788.3822359863269,778.6971779535536,780.6439208984375,50366938,Banking,HDFCBANK.NS,HDFCBANK,-0.4252,2023-06,2023,2023Q2
2023-06-02,784.7563519232599,785.9001108734474,779.1838242892643,781.860595703125,17859710,Banking,HDFCBANK.NS,HDFCBANK,0.1559,2023-06,2023,2023Q2
2023-06-05,785.7541986206603,786.7275701890972,779.8896111568738,780.8386840820312,18697242,Banking,HDFCBANK.NS,HDFCBANK,-0.1307,2023-06,2023,2023Q2
2023-06-06,782.4203085516023,783.4909933701617,774.9253365920524,778.4051513671875,32182852,Banking,HDFCBANK.NS,HDFCBANK,-0.3117,2023-06,2023,2023Q2
2023-06-07,780.3761658426776,784.805053262948,776.7503811233141,782.444580078125,24949026,Banking,HDFCBANK.NS,HDFCBANK,0.5189,2023-06,2023,2023Q2
2023-06-08,780.278861070367,791.350960923385,780.278861070367,782.9312744140625,37395522,Banking,HDFCBANK.NS,HDFCBANK,0.0622,2023-06,2023,2023Q2
2023-06-09,786.4355374130215,787.7009085166137,782.1040222342899,783.8560791015625,18212578,Banking,HDFCBANK.NS,HDFCBANK,0.1181,2023-06,2023,2023Q2
2023-06-12,784.8051052341397,786.3868338718737,778.4294745818307,779.0865478515625,13408292,Banking,HDFCBANK.NS,HDFCBANK,-0.6085,2023-06,2023,2023Q2
2023-06-13,773.8789730190645,783.0773452649356,773.8789730190645,780.4005737304688,27926108,Banking,HDFCBANK.NS,HDFCBANK,0.1687,2023-06,2023,2023Q2
2023-06-14,783.7830313619872,784.5374180278894,778.7945024942541,779.5488891601562,20113968,Banking,HDFCBANK.NS,HDFCBANK,-0.1091,2023-06,2023,2023Q2
2023-06-15,780.6439096325554,781.5929230405386,768.4767664026215,769.961181640625,35377476,Banking,HDFCBANK.NS,HDFCBANK,-1.2299,2023-06,2023,2023Q2
